name,n_chars,n_words,n_sents,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,dale_chall,coleman_liau,ari,avg_sentence_length,ttr,yule_k,entropy,avg_zipf,rare_frac,legalese_frac
amazon,27478,4164,160,25.075820965417876,16.22708909702209,19.747175792507207,17.48930111497398,11.730236253602305,14.539193083573487,17.644276034236803,26.025,0.2192919933475885,93.47650818503675,8.219078940060168,5.60751722499406,0.009265858873841768,0.0042765502494654314
apple,29703,4637,200,29.172227156566777,14.950187524261377,17.874388182014236,16.162427332266308,11.225744923873194,13.362993314643091,15.207038494257766,23.185,0.20290771175726927,99.28382034934735,8.113057145437917,5.679806152549515,0.00969237252423093,0.009481668773704172
google,64446,10254,401,37.59499003369285,14.368148280556653,17.472431268230828,15.655499669430327,11.58331455703437,12.816227813536184,15.852249331928526,25.571072319201996,0.13981293992864718,97.85711086765096,8.273859039593315,5.675013017066821,0.012534953234982162,0.004821135859608524
meta,35133,5546,149,23.31621829143444,19.25403541339426,21.5961275676042,17.712588265843667,11.76907542602807,13.470429138117563,21.978787470440118,37.22147651006711,0.12970191625266148,130.59234435830496,7.616435519724579,5.770186302342086,0.007452093683463449,0.0049680624556423
palantir,59335,8974,300,18.604502213802846,18.095678493425456,21.26776257336008,18.61334746637692,12.33250465403759,14.800891464229998,19.869173333333336,29.913333333333334,0.14153439153439154,102.23546723216036,8.185523048785104,5.646391093474427,0.02358906525573192,0.01179453262786596
tiktok,29995,4621,187,30.970673558400563,15.078498484597752,17.761574861102595,15.991686286952746,11.087967959686482,13.740532352304701,16.579070808207227,24.711229946524064,0.1917691981332202,114.01868687841433,7.959119946710777,5.740239711497666,0.01230377598642342,0.0067882901994060245
x,34552,5605,252,39.78273106849045,13.235983709273182,16.16176741288249,14.917219407550412,10.996546670348188,11.77916146297948,13.770104804584726,22.24206349206349,0.18319928507596067,105.25164096310299,8.085788982454954,5.742539767649688,0.018409294012511172,0.006613047363717605
