MAC Address,Vendor/Name,Ping Count,Last RSSI,First Seen,Last Seen,Duration Visible (s)
5D:05:F3:1F:99:94,Apple,9,-82,05:48:57,05:49:21,23.04
6F:BC:B5:2C:A7:3B,Apple,11,-81,05:48:57,05:49:16,18.89
4E:41:CA:F2:89:76,Apple,4,-85,05:48:57,05:49:24,26.18
E1:E2:CF:79:6C:80,ID: 0,129,-74,05:48:58,05:49:27,29.67
52:94:0E:65:94:D6,Apple,1,-84,05:48:58,05:48:58,0.00
C4:6B:2D:62:82:2F,ID: 0,59,-84,05:48:58,05:49:27,29.79
3D:FC:9A:B6:13:6B,Apple,49,-88,05:48:58,05:49:27,29.13
4F:D9:ED:05:39:4B,Apple,55,-58,05:48:58,05:49:27,29.71
7A:89:37:C8:3F:FC,Apple,83,-70,05:48:58,05:49:27,29.69
C8:AE:2E:9B:5B:A2,Apple,1,-65,05:48:58,05:48:58,0.00
EF:BD:50:14:C6:A8,Apple,8,-62,05:48:58,05:49:24,26.06
4E:32:70:D4:8A:46,Apple,8,-84,05:48:58,05:49:04,6.06
66:E0:5F:F7:F5:6F,Apple,49,-37,05:48:58,05:49:26,28.83
66:B7:D4:E7:4F:FE,Apple,28,-57,05:48:58,05:49:27,29.73
0C:3F:9D:3B:C1:E7,Microsoft,32,-90,05:48:58,05:49:27,29.48
45:90:41:38:2B:73,Apple,11,-70,05:48:58,05:49:02,4.44
B0:F2:F6:5C:26:6A,Samsung,11,-71,05:48:58,05:49:23,25.05
73:9D:87:D2:BF:18,Apple,8,-84,05:48:58,05:49:07,9.38
72:F4:84:ED:7E:EB,Apple,31,-67,05:48:58,05:49:27,28.85
FE:D0:0E:C7:BB:D6,Apple,10,-47,05:48:58,05:49:24,26.05
57:B0:F0:D4:77:D0,Apple,10,-77,05:48:58,05:49:13,14.83
6D:A8:47:67:FA:9C,Apple,26,-84,05:48:58,05:49:25,26.83
5E:E7:0B:1A:12:2F,Unknown,25,-87,05:48:58,05:49:25,27.70
43:1A:18:A4:04:75,Apple,12,-63,05:48:58,05:49:01,2.95
0C:8D:18:05:E9:C6,Unknown,30,-66,05:48:58,05:49:27,28.95
75:61:35:95:EC:4F,Apple,8,-83,05:48:58,05:49:27,29.41
54:35:06:9A:F3:6E,Apple,33,-65,05:48:58,05:49:26,28.58
29:DE:09:80:E8:2C,Microsoft,4,-70,05:48:58,05:49:13,15.01
41:F8:B7:4D:36:57,Apple,16,-76,05:48:58,05:49:24,25.92
74:1B:A0:88:89:69,Apple,7,-57,05:48:58,05:49:06,8.26
EA:F6:D9:79:4B:D6,ID: 754,21,-84,05:48:58,05:49:27,29.25
44:D4:F9:E4:5D:D8,Apple,51,-49,05:48:58,05:49:27,29.44
50:0E:E6:FC:68:A3,Apple,20,-81,05:48:58,05:49:27,29.50
78:48:EA:D2:07:1F,Apple,69,-57,05:48:58,05:49:27,29.22
5F:74:5E:CC:11:70,Apple,70,-50,05:48:58,05:49:26,28.48
7B:C9:4A:CE:D0:BF,Unknown,10,-62,05:48:58,05:49:06,8.24
7E:14:50:2F:87:48,Apple,7,-71,05:48:58,05:49:03,5.40
25:7C:EB:85:63:9E,Microsoft,3,-85,05:48:58,05:49:09,10.56
F6:0D:43:E9:DC:0C,Apple,8,-73,05:48:58,05:49:24,26.06
5B:13:17:D0:6A:70,Apple,18,-86,05:48:58,05:49:10,12.39
CF:97:96:F9:3A:06,Apple,1,-70,05:48:58,05:48:58,0.00
54:E4:AF:1D:8E:5F,Apple,16,-72,05:48:58,05:49:20,22.05
24:0A:C4:45:D8:C2,Unknown,5,-86,05:48:58,05:49:10,12.19
F4:6E:F2:E6:42:8E,Apple,10,-35,05:48:58,05:49:26,28.09
F5:24:52:B4:4D:32,Apple,1,-80,05:48:58,05:48:58,0.00
74:67:2D:B0:88:DA,Apple,7,-70,05:48:58,05:49:02,3.88
F4:52:3A:6D:5A:18,Apple,4,-81,05:48:58,05:49:17,18.96
F8:BC:EB:4B:6D:4F,Apple,5,-56,05:48:58,05:49:22,24.03
75:E0:C1:9A:11:87,Apple,35,-64,05:48:58,05:49:27,28.39
4D:44:05:2A:E1:8E,Apple,3,-71,05:48:59,05:49:11,12.40
D5:CF:D9:E0:11:60,Apple,3,-63,05:48:59,05:49:23,24.07
C7:3A:3B:1F:A7:33,Apple,3,-82,05:48:59,05:49:07,8.02
