MAC Address,Vendor/Name,Ping Count,Last RSSI,First Seen,Last Seen,Duration Visible (s)
6D:EC:F2:61:18:6F,Apple,3,-85,05:39:50,05:40:19,29.30
48:13:DC:5B:A7:96,Apple,9,-91,05:39:50,05:40:17,27.57
31:8A:14:00:38:F5,Apple,7,-91,05:39:50,05:40:19,28.88
77:BC:6B:EA:F8:56,Apple,113,-47,05:39:50,05:40:19,29.72
6D:DA:AC:F0:19:1B,Apple,97,-50,05:39:50,05:40:19,29.58
75:43:B2:60:45:BB,Apple,75,-70,05:39:50,05:40:19,29.74
4F:D2:18:1B:D4:D9,Apple,7,-77,05:39:50,05:39:56,6.35
60:74:F4:AF:F9:01,ihoment_H6004_F901,8,-90,05:39:50,05:40:18,28.14
54:F4:23:1B:0F:24,Apple,64,-46,05:39:50,05:40:19,28.96
FA:39:E7:CD:B2:80,Apple,2,-87,05:39:50,05:39:52,2.04
F2:4B:82:0D:AD:7C,Apple,1,-79,05:39:50,05:39:50,0.00
6A:BF:94:1F:47:CF,Apple,5,-90,05:39:50,05:40:18,28.07
68:F5:57:A3:A0:F0,Apple,4,-93,05:39:50,05:40:13,23.10
40:A7:CB:ED:00:87,Apple,27,-82,05:39:50,05:40:19,29.22
48:55:43:6B:40:36,Apple,1,-96,05:39:50,05:39:50,0.00
5C:FB:7C:2F:01:D5,JBL Flip 4,76,-86,05:39:50,05:40:19,28.80
B8:B4:09:CA:DA:2D,Samsung,45,-66,05:39:50,05:40:18,27.90
48:E1:5C:9D:FA:D2,Apple,22,-87,05:39:50,05:40:18,28.07
F8:D1:DD:23:7B:F8,Apple,9,-39,05:39:50,05:40:15,24.37
67:BA:CA:D3:1F:D5,Apple,6,-91,05:39:50,05:40:19,28.75
C4:5C:FB:8D:13:2E,Apple,1,-83,05:39:51,05:39:51,0.00
10:06:1C:92:C4:82,ID: 1744,1,-87,05:39:51,05:39:51,0.00
42:89:51:F7:B4:CB,Apple,3,-75,05:39:51,05:40:10,19.83
52:07:7B:C2:9A:BC,Apple,5,-83,05:39:51,05:39:52,1.35
7C:98:CD:74:E6:0A,Apple,15,-81,05:39:51,05:40:16,25.27
77:29:D1:A4:0E:44,Apple,19,-84,05:39:51,05:40:18,26.90
4A:71:70:D8:8F:2A,Apple,4,-76,05:39:51,05:40:18,27.50
DA:B9:82:46:1F:8D,Govee_H612B_1F8D,71,-85,05:39:51,05:40:19,27.96
7F:1F:7F:F6:20:2B,Apple,55,-88,05:39:51,05:40:19,28.36
EB:97:7B:21:50:7F,Apple,10,-47,05:39:51,05:40:15,23.97
D3:1E:DE:0C:3C:9D,Apple,9,-78,05:39:51,05:40:17,26.03
E0:03:6B:5E:AC:F6,Samsung,8,-88,05:39:51,05:40:16,25.03
4C:2B:8C:69:61:5A,Apple,9,-72,05:39:51,05:40:19,28.29
D5:40:DE:52:FA:64,Apple,1,-78,05:39:51,05:39:51,0.00
53:13:2F:CC:97:71,Apple,1,-93,05:39:51,05:39:51,0.00
43:58:B1:FA:BF:3B,Apple,6,-89,05:39:51,05:40:17,25.90
28:3C:90:63:B1:4C,Apple,65,-90,05:39:51,05:40:02,10.55
5E:DB:EA:17:E9:FC,Apple,2,-87,05:39:51,05:39:53,1.66
C2:E4:FB:4D:95:1E,Apple,3,-91,05:39:52,05:40:10,18.05
10:06:1C:96:85:12,ID: 1744,2,-73,05:39:52,05:40:13,21.12
55:5C:2A:06:12:7E,Unknown,4,-83,05:39:52,05:39:53,1.21
F4:AF:84:7B:C0:41,Apple,2,-91,05:39:52,05:39:54,2.02
65:B4:8B:C9:5C:56,Apple,6,-79,05:39:52,05:39:55,3.27
DA:B9:83:06:34:3E,Govee_H8022_343E,58,-76,05:39:52,05:40:19,27.07
4A:9F:51:AF:F2:EA,Apple,19,-79,05:39:52,05:40:15,23.10
C5:9D:A6:A9:C3:C0,Apple,1,-82,05:39:52,05:39:52,0.00
56:15:E7:04:11:51,Apple,26,-80,05:39:52,05:40:19,26.67
7F:51:8E:BE:0A:F4,Apple,3,-95,05:39:52,05:40:02,9.54
6E:CA:80:41:09:04,Apple,2,-87,05:39:52,05:39:53,0.55
F4:6B:69:E2:72:9D,Apple,10,-51,05:39:52,05:40:19,26.07
59:EB:23:A1:4A:DD,Apple,1,-89,05:39:53,05:39:53,0.00
70:44:F3:EB:3C:5B,Apple,3,-92,05:39:53,05:40:09,15.96
CD:2A:05:86:3C:14,Govee_H612B_3C14,3,-79,05:39:53,05:40:18,24.78
F0:B3:EC:4F:D9:63,Apple,12,-72,05:39:53,05:40:12,19.54
60:74:F4:FB:EF:EB,ihoment_H6004_EFEB,10,-70,05:39:53,05:40:18,25.42
F4:6E:F2:E6:42:8E,Apple,8,-59,05:39:53,05:40:14,21.28
F2:10:67:37:D6:75,Apple,9,-66,05:39:53,05:40:19,26.07
5C:2B:01:37:F1:04,Unknown,1,-77,05:39:53,05:39:53,0.00
EF:BD:50:14:C6:A8,Apple,8,-62,05:39:53,05:40:15,22.11
68:7D:0F:65:0F:8C,Apple,14,-71,05:39:54,05:40:17,23.05
DD:74:AF:25:68:D3,Apple,1,-82,05:39:54,05:39:54,0.00
31:F8:0A:B0:0B:D3,Unknown,4,-70,05:39:54,05:39:56,2.31
39:DD:A4:88:81:BF,Apple,1,-94,05:39:54,05:39:54,0.00
4A:54:0C:D8:DD:FF,Bose Ultra Open Earbuds,6,-78,05:39:54,05:39:59,5.37
5E:8F:68:00:BD:37,Apple,4,-91,05:39:54,05:40:13,18.42
69:59:14:FE:54:CF,Apple,2,-76,05:39:54,05:39:59,4.36
47:BB:B7:41:38:95,Apple,2,-85,05:39:54,05:39:56,1.63
69:2E:2C:EE:DC:9C,Apple,12,-84,05:39:55,05:40:18,23.24
57:33:35:80:0A:CA,Apple,2,-81,05:39:55,05:39:56,1.14
F9:2D:56:37:4D:67,Apple,1,-90,05:39:55,05:39:55,0.00
5B:24:6D:5B:B8:71,Apple,10,-92,05:39:55,05:40:19,23.68
DC:87:DC:E8:A0:42,Apple,4,-71,05:39:55,05:40:08,12.03
EE:02:84:39:A8:7C,Apple,1,-68,05:39:55,05:39:55,0.00
46:1A:36:C1:9D:8E,Apple,7,-76,05:39:56,05:40:01,5.25
F7:A8:25:14:C3:50,Apple,9,-71,05:39:56,05:40:18,22.06
DE:55:37:14:4B:CD,Apple,2,-76,05:39:56,05:40:08,12.03
C0:E9:58:12:C7:02,Apple,2,-76,05:39:56,05:40:12,16.04
7B:AD:02:43:69:D6,Apple,8,-88,05:39:57,05:40:19,22.31
6F:90:3D:12:9E:5F,Apple,1,-92,05:39:57,05:39:57,0.00
4E:B8:A0:FD:7D:25,Apple,3,-89,05:39:57,05:40:07,9.39
7D:15:1D:BD:62:71,Apple,1,-77,05:39:57,05:39:57,0.00
57:B5:96:C4:3D:F0,Apple,7,-89,05:39:58,05:40:17,19.29
4A:E1:C3:2C:C0:6A,Apple,1,-82,05:39:58,05:39:58,0.00
7E:17:C2:37:E3:0B,Apple,6,-86,05:39:58,05:40:15,17.06
EB:FE:2C:0C:35:AF,Apple,5,-85,05:39:58,05:40:14,16.02
66:BC:0B:81:F6:05,Apple,1,-90,05:39:58,05:39:58,0.00
ED:7E:3E:CB:6B:EC,Apple,2,-92,05:39:59,05:40:15,16.04
61:35:B9:2C:11:E1,Apple,1,-97,05:39:59,05:39:59,0.00
54:3A:06:DF:25:BD,Apple,2,-90,05:39:59,05:40:03,3.62
FE:0B:55:83:81:CD,Apple,1,-91,05:39:59,05:39:59,0.00
E0:F6:E2:BC:41:37,Apple,1,-83,05:39:59,05:39:59,0.00
E9:4B:9F:90:B7:29,Apple,1,-96,05:40:00,05:40:00,0.00
62:C0:E5:33:8B:B2,Apple,1,-92,05:40:00,05:40:00,0.00
7B:30:30:F7:35:06,Apple,3,-92,05:40:00,05:40:19,19.76
6A:29:10:DB:8D:15,LE-Bose SoundSport,6,-85,05:40:00,05:40:15,15.37
60:AD:92:5B:65:C6,Apple,2,-97,05:40:00,05:40:19,18.74
F2:94:5A:EF:3E:D4,Apple,1,-94,05:40:01,05:40:01,0.00
4F:DD:AD:EF:31:E9,Apple,1,-91,05:40:01,05:40:01,0.00
67:E2:BB:0B:86:69,Apple,3,-91,05:40:02,05:40:13,11.81
45:83:8D:A8:E2:D5,Apple,2,-92,05:40:02,05:40:12,10.67
E4:6E:16:F1:1C:4A,Apple,1,-88,05:40:02,05:40:02,0.00
6B:2F:4B:0E:45:84,Apple,1,-94,05:40:02,05:40:02,0.00
D8:7C:EC:EA:F6:D9,Apple,2,-72,05:40:02,05:40:18,16.04
F0:48:19:AD:FC:A4,Apple,2,-88,05:40:02,05:40:16,14.04
C9:6D:8B:99:FA:50,Apple,5,-81,05:40:03,05:40:13,10.01
5C:6C:32:4B:35:73,Apple,2,-91,05:40:03,05:40:07,3.34
6C:BE:DB:E2:47:A7,Apple,3,-86,05:40:03,05:40:13,9.38
4C:68:05:7E:1B:1F,Apple,3,-90,05:40:04,05:40:04,0.55
4B:63:6D:14:55:95,Apple,3,-91,05:40:04,05:40:10,5.40
67:8C:AB:C2:02:23,Apple,1,-91,05:40:05,05:40:05,0.00
0D:B5:B5:4A:95:D5,Apple,1,-90,05:40:05,05:40:05,0.00
CC:7B:5C:31:67:FA,Unknown,1,-75,05:40:06,05:40:06,0.00
15:80:A4:E7:22:38,Microsoft,1,-88,05:40:06,05:40:06,0.00
49:CA:F7:8F:56:E2,Apple,2,-91,05:40:06,05:40:11,4.84
DB:E6:03:4A:F9:3B,Apple,2,-85,05:40:06,05:40:08,2.05
6B:F3:FF:40:14:AC,Apple,3,-89,05:40:06,05:40:19,12.94
C3:00:00:0B:11:B8,Unknown,1,-87,05:40:07,05:40:07,0.00
79:84:43:1A:AC:7F,Apple,4,-75,05:40:07,05:40:14,6.15
F9:E3:12:B7:78:6A,Apple,2,-95,05:40:08,05:40:16,8.02
DB:34:3E:6F:94:B9,Apple,3,-78,05:40:08,05:40:16,8.05
5E:1E:2E:35:39:03,Apple,1,-84,05:40:08,05:40:08,0.00
EE:A4:20:BD:2D:37,Apple,2,-78,05:40:09,05:40:15,6.29
10:55:BA:30:3E:52,Apple,4,-95,05:40:09,05:40:12,2.62
EA:21:99:8F:80:23,Apple,3,-78,05:40:10,05:40:14,4.02
60:83:86:31:84:1E,Apple,1,-76,05:40:10,05:40:10,0.00
74:E0:6D:2A:01:B2,Apple,1,-91,05:40:11,05:40:11,0.00
E1:45:66:FD:76:59,Apple,3,-88,05:40:11,05:40:17,6.00
42:52:4B:34:A0:21,Apple,1,-99,05:40:12,05:40:12,0.00
80:8A:BD:72:EA:23,Samsung,2,-89,05:40:12,05:40:17,4.31
D5:A1:FB:21:9B:E9,1K1UA2525P0963,1,-78,05:40:13,05:40:13,0.00
74:30:8C:D0:17:88,Apple,4,-69,05:40:14,05:40:18,4.04
63:47:9A:2A:D7:7C,Apple,2,-94,05:40:14,05:40:18,4.34
70:62:91:14:DF:A8,Apple,1,-81,05:40:14,05:40:14,0.00
5F:82:CB:BB:74:BD,Apple,1,-92,05:40:14,05:40:14,0.00
D9:7D:84:31:3B:8B,Apple,1,-89,05:40:15,05:40:15,0.00
43:91:35:71:49:BD,Apple,1,-92,05:40:15,05:40:15,0.00
6B:4E:40:A7:D3:C5,Apple,1,-81,05:40:16,05:40:16,0.00
DA:85:57:F2:41:DD,Apple,1,-95,05:40:18,05:40:18,0.00
BC:7E:8B:E0:EE:DF,Samsung,1,-91,05:40:19,05:40:19,0.00
