MAC Address,Vendor/Name,Ping Count,Last RSSI,First Seen,Last Seen,Duration Visible (s)
7E:1A:7C:0E:BE:F7,Apple,84,-43,12:22:17,12:22:46,29.49
7A:14:6C:8F:4A:69,Apple,120,-34,12:22:17,12:22:47,29.97
6F:AA:0F:D7:4B:8B,Apple,84,-72,12:22:17,12:22:47,29.79
61:15:B7:A4:1F:43,Apple,89,-54,12:22:17,12:22:47,29.72
D3:D5:7D:93:C5:DE,Apple,9,-72,12:22:17,12:22:37,20.04
44:6F:F8:21:7C:DC,X5A-US-TBA4114A,201,-77,12:22:17,12:22:47,29.51
51:0B:D3:44:08:C1,Apple,82,-83,12:22:17,12:22:47,29.21
78:20:B5:A8:40:4B,Unknown,20,-88,12:22:17,12:22:46,28.81
F0:61:42:A3:08:BE,Apple,4,-80,12:22:18,12:22:46,28.07
DB:9C:C5:33:ED:17,Apple,12,-46,12:22:18,12:22:46,28.07
55:5C:7D:A7:F4:09,JBL Flip 6,52,-85,12:22:18,12:22:46,28.04
C2:31:58:9D:8F:FC,Apple,10,-39,12:22:18,12:22:46,28.08
D7:C2:68:A9:D9:F1,Apple,13,-47,12:22:18,12:22:46,28.08
DB:00:E2:B3:85:76,Apple,11,-58,12:22:19,12:22:47,28.09
E9:1E:87:84:FB:03,Apple,13,-49,12:22:19,12:22:45,26.09
F0:1A:A0:6F:07:5C,ID: 283,5,-73,12:22:19,12:22:44,25.07
DC:49:35:00:20:02,Apple,7,-87,12:22:19,12:22:41,22.06
4A:78:F3:08:C2:67,Apple,30,-84,12:22:19,12:22:46,26.83
CF:88:A3:53:21:73,Apple,10,-55,12:22:19,12:22:43,24.09
DB:F4:CD:5A:14:E8,Apple,4,-84,12:22:20,12:22:40,20.06
F0:1A:A0:6E:C2:26,ID: 283,4,-59,12:22:21,12:22:46,24.99
F0:1A:A0:6F:09:61,ID: 283,2,-83,12:22:21,12:22:26,4.99
6E:7E:AD:F4:4C:1B,Apple,4,-97,12:22:22,12:22:46,23.45
F0:1A:A0:6E:E6:1A,ID: 283,2,-81,12:22:23,12:22:33,9.94
42:E4:D3:1A:F6:DE,Unknown,12,-95,12:22:35,12:22:45,9.93
F5:94:A0:D9:F3:E1,Apple,2,-77,12:22:43,12:22:45,2.10
