MAC Address,Vendor/Name,Ping Count,Last RSSI,First Seen,Last Seen,Duration Visible (s)
5E:A6:9E:CC:DF:22,Apple,14,-71,05:30:21,05:30:46,25.49
72:AF:63:AF:BE:7E,Apple,6,-80,05:30:21,05:30:50,29.15
63:2F:64:78:3D:CD,Apple,3,-76,05:30:21,05:30:42,20.95
C0:BB:9B:3C:33:C6,Unknown,11,-78,05:30:21,05:30:50,29.44
61:43:EF:66:0F:E3,Apple,6,-82,05:30:21,05:30:35,14.05
78:16:90:16:F7:B3,Apple,1,-77,05:30:21,05:30:21,0.00
70:AA:CD:3E:B6:C6,Unknown,49,-66,05:30:21,05:30:50,29.23
7D:27:65:53:01:F7,Apple,3,-71,05:30:21,05:30:50,29.41
5B:A0:EA:B6:3F:1D,Apple,4,-84,05:30:21,05:30:35,14.74
E9:FE:5B:06:F8:2F,Apple,1,-81,05:30:21,05:30:21,0.00
54:A0:29:A4:E2:49,Apple,2,-75,05:30:21,05:30:23,2.21
45:33:31:26:26:94,Apple,2,-80,05:30:21,05:30:24,3.32
5F:B1:D6:CB:44:DE,Apple,7,-78,05:30:21,05:30:28,7.63
2D:38:50:D0:37:F0,Microsoft,18,-76,05:30:21,05:30:49,28.48
71:2D:43:92:B4:D8,Apple,4,-64,05:30:21,05:30:47,26.44
78:C5:6C:5D:53:A8,Apple,27,-71,05:30:21,05:30:50,29.49
4C:1E:9E:FE:5C:9C,Apple,8,-86,05:30:21,05:30:46,25.34
5B:F7:4D:68:B6:11,Apple,7,-81,05:30:21,05:30:50,29.17
54:F4:23:1B:0F:24,Apple,33,-41,05:30:21,05:30:49,28.33
54:3A:D6:53:C3:33,Samsung,44,-56,05:30:21,05:30:51,29.81
0B:79:4C:9F:A3:9C,Microsoft,11,-67,05:30:21,05:30:44,23.60
4B:C7:C5:F7:1E:16,Apple,7,-63,05:30:21,05:30:47,26.16
6D:DA:AC:F0:19:1B,Apple,38,-49,05:30:21,05:30:50,29.39
E8:6F:38:86:7E:5E,ID: 301,51,-83,05:30:21,05:30:51,29.99
37:05:2F:4C:82:C2,Microsoft,15,-78,05:30:21,05:30:48,26.66
46:6F:6B:48:52:61,Apple,9,-86,05:30:21,05:30:48,27.40
00:0C:BF:12:70:FF,TT8,19,-64,05:30:21,05:30:48,26.75
F4:E1:71:38:CE:B1,Apple,3,-52,05:30:21,05:30:35,14.04
20:4C:03:44:7B:68,ID: 283,2,-66,05:30:21,05:30:31,10.01
53:D5:12:C7:EB:9D,Apple,24,-75,05:30:21,05:30:51,29.73
20:8C:C5:9A:13:BC,Microsoft,8,-80,05:30:21,05:30:49,28.44
61:12:E3:8F:5F:A1,Apple,29,-81,05:30:21,05:30:49,27.58
62:E2:08:A2:9A:76,Apple,26,-73,05:30:21,05:30:51,29.62
63:09:87:B1:D2:F8,Apple,2,-86,05:30:21,05:30:35,14.36
61:9A:F8:CA:49:43,Apple,28,-77,05:30:21,05:30:48,27.16
68:18:20:87:3F:CE,Apple,12,-79,05:30:21,05:30:51,29.67
CE:D9:B7:5F:82:29,Apple,2,-73,05:30:21,05:30:23,2.00
43:E7:5B:96:31:2E,Apple,3,-82,05:30:21,05:30:46,25.33
65:09:5D:62:7F:38,Apple,3,-84,05:30:21,05:30:38,16.46
61:FD:85:F7:44:84,Apple,7,-78,05:30:21,05:30:40,18.62
72:5D:E2:A4:1B:D1,Apple,13,-70,05:30:21,05:30:51,29.59
53:83:B7:07:11:7C,Apple,22,-79,05:30:21,05:30:50,28.91
15:BA:AD:16:E9:49,Microsoft,26,-69,05:30:21,05:30:50,29.05
18:4C:84:9C:E5:CB,Microsoft,19,-65,05:30:21,05:30:45,24.04
C7:31:30:30:7C:40,Govee_H6058_7C40,8,-53,05:30:21,05:30:48,26.78
73:E5:BF:92:3D:2D,Apple,7,-81,05:30:21,05:30:49,28.01
58:CC:26:00:16:0D,Apple,7,-64,05:30:21,05:30:50,28.71
D0:E8:03:0A:4A:C4,Unknown,33,-85,05:30:21,05:30:50,29.14
5A:86:F3:74:B4:7C,Apple,10,-76,05:30:21,05:30:51,29.39
20:4C:03:44:3D:87,ID: 283,2,-77,05:30:21,05:30:41,20.00
43:8B:81:48:C8:06,Apple,9,-64,05:30:21,05:30:50,28.30
7A:DB:E0:AC:76:8D,Apple,19,-78,05:30:21,05:30:49,27.87
63:A7:E5:0E:DF:12,Apple,5,-76,05:30:21,05:30:50,28.92
55:7D:D2:0D:EF:32,Apple,6,-88,05:30:21,05:30:48,26.63
71:C7:36:7A:7D:D2,Apple,3,-81,05:30:21,05:30:37,15.91
5D:FD:76:ED:F1:37,Apple,1,-82,05:30:21,05:30:21,0.00
79:D1:73:15:CA:34,Apple,49,-46,05:30:21,05:30:51,29.44
6F:72:EC:7F:99:E6,Apple,7,-72,05:30:21,05:30:51,29.21
71:2F:80:BC:2F:42,Apple,10,-65,05:30:21,05:30:45,23.89
61:BD:CF:48:E1:C5,Apple,1,-85,05:30:21,05:30:21,0.00
3B:56:23:1C:71:F7,Microsoft,29,-60,05:30:21,05:30:50,28.39
74:49:44:D1:FB:F4,Apple,34,-63,05:30:21,05:30:48,26.43
71:AB:EF:E3:A6:CA,Apple,18,-73,05:30:21,05:30:51,29.35
1E:B4:BD:80:5B:12,Apple,4,-73,05:30:22,05:30:39,17.34
7C:2B:AE:19:C7:0E,Apple,6,-86,05:30:22,05:30:45,23.87
EB:97:7B:21:50:7F,Apple,7,-61,05:30:22,05:30:50,28.11
6B:66:C6:49:50:EE,Apple,11,-73,05:30:22,05:30:46,24.38
60:CE:AB:3F:F0:30,Apple,11,-71,05:30:22,05:30:49,27.01
5C:57:D0:7B:DE:34,Apple,5,-79,05:30:22,05:30:48,26.75
