MAC Address,Vendor/Name,Ping Count,Last RSSI,First Seen,Last Seen,Duration Visible (s)
31:5B:4C:3F:B9:FD,Microsoft,33,-75,05:26:15,05:26:43,28.57
7D:27:65:53:01:F7,Apple,23,-83,05:26:15,05:26:44,29.23
31:D0:33:1B:C9:DC,Microsoft,53,-73,05:26:15,05:26:44,29.51
63:09:87:B1:D2:F8,Apple,29,-69,05:26:15,05:26:45,29.67
E1:6B:07:03:16:34,Apple,5,-72,05:26:15,05:26:35,20.05
7B:33:72:23:2E:60,Apple,33,-73,05:26:15,05:26:45,29.86
D3:9B:EC:C9:4D:76,Apple,3,-55,05:26:15,05:26:39,24.04
62:E2:08:A2:9A:76,Apple,98,-77,05:26:15,05:26:45,29.92
4F:DC:41:73:C5:50,Apple,26,-72,05:26:15,05:26:45,29.65
E8:6F:38:86:7E:5E,ID: 301,80,-74,05:26:15,05:26:45,29.96
7B:4B:EB:F4:A0:1A,Apple,24,-79,05:26:15,05:26:42,27.30
4E:85:D9:72:62:5F,Apple,44,-60,05:26:15,05:26:44,29.40
75:C3:44:42:35:34,Apple,26,-72,05:26:15,05:26:45,29.71
A0:D0:5B:45:1B:BD,Samsung,24,-76,05:26:15,05:26:44,28.73
79:D1:73:15:CA:34,Apple,53,-52,05:26:15,05:26:44,29.38
40:63:59:29:6C:19,Apple,9,-87,05:26:15,05:26:43,27.72
74:22:90:1C:7F:11,Apple,3,-89,05:26:15,05:26:27,11.69
6F:1E:2A:E5:3E:6F,Apple,3,-90,05:26:15,05:26:40,24.60
6D:78:25:E8:61:1A,Apple,12,-77,05:26:15,05:26:43,28.00
4E:B3:E4:67:FB:55,Apple,2,-70,05:26:15,05:26:21,5.83
72:2B:A2:77:05:6C,Apple,3,-69,05:26:15,05:26:38,23.11
A8:51:AB:D4:0C:25,Apple,7,-78,05:26:15,05:26:38,22.81
47:71:3E:50:B9:2E,Apple,25,-72,05:26:15,05:26:45,29.48
5C:0C:B6:FC:73:64,Apple,25,-73,05:26:15,05:26:44,28.89
5B:18:62:71:B6:EF,Apple,38,-78,05:26:15,05:26:45,29.57
4A:70:AA:E1:12:0A,Apple,4,-74,05:26:15,05:26:19,3.55
40:5B:D8:BF:80:1A,ID: 301,8,-86,05:26:15,05:26:44,29.12
68:E1:65:95:68:C8,Apple,59,-63,05:26:15,05:26:45,29.63
CB:2D:B3:8D:94:04,Apple,1,-83,05:26:15,05:26:15,0.00
F0:70:4F:76:BD:0B,Samsung,13,-69,05:26:15,05:26:44,29.20
74:49:44:D1:FB:F4,Apple,29,-66,05:26:15,05:26:44,29.11
60:2E:DB:8A:6E:61,Apple,20,-74,05:26:15,05:26:45,29.44
51:A3:5C:E4:48:7D,Apple,34,-74,05:26:15,05:26:45,29.58
53:83:B7:07:11:7C,Apple,31,-75,05:26:15,05:26:45,29.40
10:10:13:F5:1B:34,Microsoft,11,-85,05:26:15,05:26:44,28.37
58:81:8E:D8:EC:5D,Apple,17,-74,05:26:15,05:26:45,29.16
76:6B:D5:42:29:72,Apple,16,-74,05:26:15,05:26:45,29.38
4E:FF:0B:78:B7:D9,Apple,43,-67,05:26:15,05:26:44,28.75
F1:0E:58:06:D3:10,Apple,2,-68,05:26:15,05:26:18,2.01
73:7E:0E:75:E9:BB,Apple,18,-68,05:26:16,05:26:43,27.66
4D:36:A2:BE:AB:E2,Apple,33,-64,05:26:16,05:26:42,26.50
72:AF:63:AF:BE:7E,Apple,15,-81,05:26:16,05:26:44,28.57
5F:70:8E:64:D0:0A,Apple,20,-75,05:26:16,05:26:45,29.16
67:34:91:01:82:8C,Apple,13,-78,05:26:16,05:26:44,28.05
54:AF:1B:E1:B9:4B,Apple,12,-90,05:26:16,05:26:43,27.48
75:4D:0A:C9:F9:9A,Apple,11,-80,05:26:16,05:26:40,24.30
1D:B3:BC:6C:13:B6,Microsoft,33,-82,05:26:16,05:26:44,28.16
74:A5:D9:41:07:50,Apple,19,-78,05:26:16,05:26:43,27.71
37:05:2F:4C:82:C2,Microsoft,37,-79,05:26:16,05:26:44,28.32
5D:39:C2:65:50:A7,Unknown,1,-80,05:26:16,05:26:16,0.00
DC:BC:76:9C:E1:1F,Apple,7,-77,05:26:16,05:26:41,24.69
