MAC Address,Vendor/Name,Ping Count,Last RSSI,First Seen,Last Seen,Duration Visible (s)
CD:4D:34:E9:12:DD,S24 C36C LE,160,-72,10:09:46,10:10:16,29.84
E7:E7:01:88:37:89,S14 2E47 LE,181,-34,10:09:46,10:10:16,29.83
74:34:91:58:4B:D0,Apple,89,-42,10:09:46,10:10:16,29.82
56:D1:7B:00:A7:82,Apple,398,-61,10:09:46,10:10:16,29.89
0E:6F:02:EE:FE:5E,Apple,83,-79,10:09:46,10:10:16,29.81
D5:0E:C3:06:3B:47,GVH5103_3B47,9,-68,10:09:46,10:10:14,28.02
43:67:33:AE:3D:ED,Apple,83,-75,10:09:46,10:10:16,29.82
04:E4:B6:52:6A:FB,Samsung,81,-73,10:09:46,10:10:16,29.87
B0:B9:50:E7:2E:46,S4d9eb16e8c35732aC,409,-73,10:09:46,10:10:16,29.83
1C:9C:94:FF:37:5D,Apple,86,-80,10:09:46,10:10:16,29.83
75:F8:03:87:44:D7,Apple,42,-54,10:09:47,10:10:15,28.19
1C:B3:C9:16:8F:60,Apple,78,-50,10:09:47,10:10:16,29.52
7D:B2:F0:87:72:DE,Apple,55,-86,10:09:47,10:10:16,29.32
77:9B:61:95:6B:95,Apple,84,-72,10:09:47,10:10:16,29.59
FA:BD:DB:D9:D8:5D,Andrew’s desk,47,-63,10:09:47,10:10:16,29.13
4A:50:64:E4:BC:E5,Apple,374,-71,10:09:47,10:10:16,29.67
77:39:4F:EE:B0:0F,Apple,69,-81,10:09:47,10:10:16,29.21
F8:4E:58:A8:DF:D1,Samsung,108,62,10:09:47,10:10:16,29.70
57:BD:D2:79:56:45,Apple,55,-61,10:09:47,10:10:16,29.68
7F:E8:90:EE:C9:14,Apple,59,-43,10:09:47,10:10:16,29.28
DC:56:E7:32:9F:A9,Apple,17,-87,10:09:47,10:10:16,29.32
F4:8A:97:C0:91:89,Apple,9,-70,10:09:47,10:10:13,26.06
76:D7:DA:53:1B:62,Apple,44,-68,10:09:47,10:10:16,29.47
CB:6A:FA:C5:07:D5,Apple,11,-58,10:09:47,10:10:15,28.08
55:DB:89:DB:73:51,Apple,274,-67,10:09:47,10:10:16,29.58
B4:C2:E0:46:B2:32,Aqara-3001-a0b,100,-52,10:09:47,10:10:16,29.35
50:8E:C1:AE:A4:4B,Apple,81,-75,10:09:47,10:10:16,29.58
C9:82:F7:9D:5B:19,Apple,8,-79,10:09:47,10:10:15,28.06
DE:CD:2F:41:47:16,ID: 64,36,-85,10:09:47,10:10:16,29.46
70:2B:40:FB:5A:2A,Apple,73,-76,10:09:47,10:10:16,29.23
7B:1C:0B:44:A9:51,Apple,57,-51,10:09:47,10:10:16,29.38
48:02:80:26:81:87,Apple,25,-76,10:09:47,10:10:15,28.36
46:5B:F0:42:E7:8D,Apple,32,-97,10:09:47,10:10:16,28.81
74:13:37:CF:B5:E2,Apple,63,-75,10:09:47,10:10:16,28.84
C9:DE:2E:52:37:5F,Apple,8,-53,10:09:47,10:10:15,28.06
F7:F1:61:16:4A:8D,Apple,6,-78,10:09:47,10:10:11,24.03
70:3C:C2:3D:DE:B6,Apple,60,-51,10:09:47,10:10:16,29.23
FC:D2:55:5F:45:D4,Apple,8,-74,10:09:47,10:10:15,28.06
5F:E9:3C:8C:15:2F,Apple,60,-59,10:09:47,10:10:16,29.01
44:90:73:AF:BD:08,Apple,72,-77,10:09:47,10:10:16,29.00
42:DF:66:1D:7B:5A,Apple,96,-50,10:09:47,10:10:16,28.72
CC:B1:1A:16:FC:25,Samsung,32,-96,10:09:47,10:10:16,28.83
EA:8A:BE:74:C7:D3,Apple,6,-85,10:09:47,10:10:15,28.06
C1:36:E2:B3:DD:C0,Apple,10,-39,10:09:47,10:10:15,28.06
FC:54:6F:9D:B3:3E,Apple,10,-55,10:09:47,10:10:14,26.06
60:2F:24:9D:0D:C2,Apple,39,-83,10:09:48,10:10:16,28.14
71:5A:9A:3B:1D:12,Apple,20,-89,10:09:48,10:10:15,27.81
D1:BF:39:32:7B:81,Apple,8,-76,10:09:48,10:10:16,28.06
