MAC Address,Vendor/Name,Ping Count,Last RSSI,First Seen,Last Seen,Duration Visible (s)
1C:B3:C9:16:8F:60,Apple,114,-51,11:01:08,11:01:38,29.98
74:18:F9:F1:89:40,Apple,91,-80,11:01:08,11:01:38,29.92
61:8D:88:E7:88:9F,Apple,46,-78,11:01:08,11:01:38,29.23
47:78:97:3E:70:30,Apple,74,-42,11:01:08,11:01:38,29.99
CD:4D:4C:93:28:DF,S24 C680 LE,216,-65,11:01:08,11:01:38,30.02
56:94:B0:50:4E:29,Apple,49,-75,11:01:08,11:01:38,29.74
50:DC:F9:DE:46:F9,Apple,106,-51,11:01:08,11:01:38,29.87
4A:54:EB:C0:6F:D9,Apple,115,-43,11:01:08,11:01:38,29.97
77:9D:7D:3E:C3:CE,Apple,110,-27,11:01:08,11:01:38,29.61
41:BB:29:17:C8:F4,Apple,27,-86,11:01:08,11:01:38,29.47
73:CD:C1:20:55:CE,Apple,17,-87,11:01:08,11:01:38,29.43
79:47:7D:05:53:9A,Apple,37,-82,11:01:08,11:01:37,28.31
CD:4D:34:E9:12:DD,S24 C36C LE,164,-76,11:01:08,11:01:38,29.84
E7:E7:01:88:37:89,S14 2E47 LE,201,-64,11:01:08,11:01:38,29.93
5D:BC:37:3E:A0:B1,Apple,70,-81,11:01:08,11:01:38,29.75
64:B8:42:53:6E:FC,Apple,74,-44,11:01:09,11:01:38,29.89
B4:C2:E0:46:B2:32,Aqara-3001-a0b,58,-85,11:01:09,11:01:38,29.24
7C:2A:86:C9:85:5A,Apple,63,-73,11:01:09,11:01:38,29.66
BC:7E:8B:A7:75:2B,Samsung,53,-86,11:01:09,11:01:38,29.41
F8:4E:58:A8:DF:D1,Samsung,103,-68,11:01:09,11:01:38,29.89
FA:BD:DB:D9:D8:5D,Andrew’s desk,68,-46,11:01:09,11:01:38,29.78
52:F8:33:16:D8:FB,Apple,40,-84,11:01:09,11:01:38,29.14
62:4C:7D:D9:48:10,Apple,69,-40,11:01:09,11:01:38,29.71
F7:85:85:6C:42:49,Apple,8,-75,11:01:09,11:01:35,26.06
E7:A7:6D:5B:77:36,S17 D84C LE,57,-93,11:01:09,11:01:38,29.52
7F:71:2E:53:CE:D8,Apple,54,-82,11:01:09,11:01:38,29.20
75:37:50:D5:CD:6F,Apple,46,-80,11:01:09,11:01:38,28.90
49:40:23:65:CE:DC,Apple,23,-91,11:01:09,11:01:30,20.70
F0:67:F8:80:D2:8D,N43VN,10,-76,11:01:09,11:01:32,23.13
75:FA:13:ED:73:68,Apple,62,-75,11:01:09,11:01:38,29.00
64:D0:5D:36:D8:E6,Apple,27,-89,11:01:09,11:01:38,28.65
F3:33:42:D2:51:90,S18 3294 LE,54,-89,11:01:09,11:01:38,28.90
66:A8:E5:33:4E:6D,Apple,45,-70,11:01:09,11:01:38,28.94
EA:17:49:22:51:A5,Apple,7,-84,11:01:10,11:01:36,26.07
ED:1B:D4:0C:C4:04,Apple,10,-38,11:01:10,11:01:38,28.06
E2:BD:1A:D0:E4:46,Apple,6,-85,11:01:10,11:01:34,24.04
FD:2D:45:6E:47:33,Apple,9,-80,11:01:10,11:01:38,28.10
DA:DE:68:9B:5F:49,Apple,8,-74,11:01:10,11:01:38,28.06
D9:BA:B2:E8:B4:D4,Apple,3,-83,11:01:10,11:01:30,20.06
FE:F8:C0:47:A9:B1,Apple,5,-71,11:01:10,11:01:32,22.06
5A:F5:51:16:EC:D7,Apple,9,-91,11:01:11,11:01:37,26.13
F0:A5:04:87:CB:59,Apple,4,-82,11:01:11,11:01:25,14.04
49:D1:1E:67:E1:96,Apple,10,-87,11:01:11,11:01:35,24.22
41:DD:F0:02:04:D8,Apple,10,-87,11:01:11,11:01:36,25.29
CA:8C:DD:23:C2:16,N0715,12,-83,11:01:11,11:01:37,25.77
C1:BF:A4:18:83:BC,N02YN,8,-87,11:01:11,11:01:36,24.54
71:56:1A:07:FE:7A,Apple,5,-79,11:01:11,11:01:36,24.72
0A:25:CC:7F:5F:03,Apple,7,-86,11:01:12,11:01:38,26.64
6C:3E:E2:A0:DA:F8,Apple,5,-88,11:01:12,11:01:35,22.93
FA:6B:A5:52:B0:E7,Apple,6,-59,11:01:12,11:01:38,26.07
04:E4:B6:52:6A:FB,Samsung,5,-88,11:01:12,11:01:31,19.19
C7:9E:1E:1F:F6:F7,Apple,9,-40,11:01:12,11:01:38,26.06
F9:B5:49:08:63:A1,Apple,12,-41,11:01:12,11:01:38,25.52
00:7C:2D:C6:3F:3C,Samsung,11,-76,11:01:12,11:01:38,25.66
CB:E0:F2:88:B1:15,N033T,14,-69,11:01:13,11:01:38,25.76
C0:28:8D:FA:34:8B,ID: 3,7,-91,11:01:13,11:01:35,21.94
DF:02:6E:9C:C1:D6,Apple,4,-87,11:01:14,11:01:32,18.05
50:48:82:F0:3F:28,Apple,4,-77,11:01:14,11:01:33,19.52
D9:EF:22:93:DB:6B,Apple,2,-72,11:01:15,11:01:21,6.01
F4:2C:AF:19:2E:22,Apple,10,-82,11:01:16,11:01:38,22.06
C4:39:27:38:1F:8C,Apple,1,-86,11:01:18,11:01:18,0.00
EF:99:BF:BB:5C:21,Apple,1,-91,11:01:20,11:01:20,0.00
F9:79:18:6B:86:D5,Apple,1,-87,11:01:21,11:01:21,0.00
6B:17:08:D7:AE:1C,Apple,6,-88,11:01:24,11:01:36,11.61
4B:57:9B:86:24:5F,Apple,5,-87,11:01:24,11:01:34,9.97
F6:5E:5B:92:EE:78,Apple,3,-88,11:01:24,11:01:34,10.03
5C:ED:7F:73:F1:D0,NZWG3,2,-80,11:01:25,11:01:26,1.02
F0:5D:A1:7F:42:C1,Apple,1,-93,11:01:26,11:01:26,0.00
7D:4B:55:C3:E4:24,Apple,2,-88,11:01:26,11:01:37,10.22
2C:66:B8:E8:72:66,Apple,1,-81,11:01:27,11:01:27,0.00
50:32:5F:A2:C2:BF,ResMed 068051,3,-89,11:01:30,11:01:36,6.30
DE:CD:2F:41:47:16,ID: 64,1,-82,11:01:31,11:01:31,0.00
E9:0B:C5:6C:A4:43,Apple,1,-69,11:01:31,11:01:31,0.00
C9:C5:7A:E9:3A:F1,Apple,1,-81,11:01:32,11:01:32,0.00
F3:33:2D:C4:7A:E9,Sonos,1,-98,11:01:32,11:01:32,0.00
C4:DE:AE:FA:4D:9B,Apple,2,-85,11:01:33,11:01:35,2.00
C2:0F:01:D0:BA:CA,Apple,2,-82,11:01:33,11:01:35,2.00
B0:E9:FE:58:0B:81,ID: 2409,2,-90,11:01:34,11:01:35,0.32
