MAC Address,Vendor/Name,Ping Count,Last RSSI,First Seen,Last Seen,Duration Visible (s)
C3:38:E4:45:56:02,Apple,1,-92,10:11:22,10:11:22,0.00
54:82:30:99:F4:92,Apple,1,-95,10:11:26,10:11:26,0.00
40:50:E4:3A:49:57,Apple,2,-92,10:11:26,10:11:38,11.52
F6:85:35:1D:FA:B8,Apple,1,-88,10:11:32,10:11:32,0.00
D0:FC:1B:C3:28:A5,Apple,1,-82,10:11:33,10:11:33,0.00
E9:9C:F4:CC:62:0F,Apple,1,-88,10:11:33,10:11:33,0.00
C7:3A:69:E3:EF:5A,Apple,1,-93,10:11:33,10:11:33,0.00
1C:9C:94:FF:37:5D,Apple,1,-94,10:11:34,10:11:34,0.00
C0:C8:6C:FF:26:37,Apple,1,-79,10:11:36,10:11:36,0.00
5D:77:F5:CC:D0:59,Apple,1,-88,10:11:36,10:11:36,0.00
7D:03:A1:45:06:EC,Apple,2,-96,10:11:37,10:11:38,0.30
