MAC Address,Vendor/Name,Ping Count,Last RSSI,First Seen,Last Seen,Duration Visible (s)
55:DB:89:DB:73:51,Apple,455,-68,10:12:02,10:12:32,30.13
B0:B9:50:E7:2E:46,S4d9eb16e8c35732aC,20,-90,10:12:02,10:12:29,26.87
56:D1:7B:00:A7:82,Apple,196,-85,10:12:02,10:12:33,30.17
46:9C:A6:C4:D2:96,Apple,65,-59,10:12:02,10:12:32,29.79
60:2F:24:9D:0D:C2,Apple,92,-58,10:12:02,10:12:32,30.05
29:77:51:09:37:97,Apple,94,-57,10:12:02,10:12:32,30.00
41:44:08:83:60:52,Apple,68,-68,10:12:02,10:12:33,30.16
CD:4D:4C:93:28:DF,S24 C680 LE,170,-74,10:12:02,10:12:33,30.09
CB:6A:FA:C5:07:D5,Apple,10,-40,10:12:02,10:12:32,30.05
7B:1C:0B:44:A9:51,Apple,36,-76,10:12:02,10:12:32,29.68
DC:56:E7:32:9F:A9,Apple,90,-77,10:12:02,10:12:32,29.85
71:5A:9A:3B:1D:12,Apple,77,-78,10:12:02,10:12:32,29.65
50:32:5F:A2:C2:BF,ResMed 068051,84,-64,10:12:02,10:12:33,30.08
00:7C:2D:C6:3F:3C,Samsung,91,-69,10:12:02,10:12:32,29.85
CD:4D:34:E9:12:DD,S24 C36C LE,104,-83,10:12:02,10:12:32,29.58
0E:6F:02:EE:FE:5E,Apple,49,-86,10:12:03,10:12:32,29.97
C0:28:8D:FA:34:8B,ID: 3,178,-74,10:12:03,10:12:33,30.04
E7:A7:6D:5B:77:36,S17 D84C LE,160,-71,10:12:03,10:12:32,29.92
70:3C:C2:3D:DE:B6,Apple,27,-71,10:12:03,10:12:32,29.22
43:67:33:AE:3D:ED,Apple,53,-65,10:12:03,10:12:32,29.43
42:DF:66:1D:7B:5A,Apple,68,-81,10:12:03,10:12:32,29.90
70:16:08:C7:6A:CA,Apple,23,-46,10:12:03,10:12:13,9.97
1C:B3:C9:16:8F:60,Apple,66,-66,10:12:03,10:12:32,29.79
